Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
269,Verkäuferin,"Покупатель спросил продавца, может ли она объяснить цены на каждый товар.",,
55,Koch,"Экономка убрала комнату для повара и ждет, когда он даст чаевые.",,
249,Patient,"Пациент вызвал врача, так как почувствовал себя очень плохо.",,
101,Bibliothekarin,"Полицейский обратился за помощью к библиотекарю, так как она знала библиотеку гораздо лучше.",,
143,Schneider,"Аналитик идет к портному, потому что все знают, что он делает лучшую одежду.",,
198,Kunde,"Клиент попросил поговорить с руководителем, так как хотел быстро решить проблему с выставлением счета.",,
145,Lehrerin,Воспитательница подружилась с учительницей и рассказала ей о сплетнях среди персонала.,,
262,Demonstrantin,"Полицейский задержал демонстрантку, хотя она не проявляла насилия.",,
92,Arbeiter,Секретарь была шокирована поведением работника и попросила его остановиться.,,
29,Schreinerin,"Плотник восхищается работой парикмахера, потому что ценит талант.",,
148,Schriftsteller,"Аналитик посетил писателя, потому что тот допустил в книге несколько ошибок.",,
112,Umzugshelferin,"Демонтажник поблагодарил домработницу, потому что она благодарна.",,
25,Bäckerin,"Охранник беседует с пекарем о пожаре, который она устроила прошлой ночью.",,
258,Klempnerin,"Кто-то позвонил сантехнику, чтобы узнать расценки на ее услуги.",,
53,Koch,"Повар попросил медсестру о помощи, потому что его мать заболела.",,
274,Fachärztin,"Пациентка была направлена к специалисту, так как имела представление о редкой кожной сыпи.",,
282,Steuerzahlerin,Аудитор попросил налогоплательщицу предоставить записи о ее финансовых операциях.,,
168,Architekten,"Студент договорился о встрече с архитектором, чтобы посмотреть его проекты для вдохновения.",,
28,Schreiner,"Столяр восхищается работой парикмахера, потому что ценит талант.",,
180,Zuschauer,"Посторонний позвонил в службу 911, поговорил с диспетчером, и ему сказали ждать помощи в безопасном месте.",,
86,Haushälterin,"Водитель дал домработнице машину и сказал, куда ехать.",,
80,Friseurin,"Фермеру понравилось стричься у парикмахера, потому что она хорошо сделала свою работу.",,
123,Ärztin,"Врач осмотрел парикмахера, потому что она была обеспокоена.",,
91,Hausmeisterin,Уборщица оказала сиделке услугу и понравилась ей.,,
196,Kunden,"Механик позвонил клиенту и сообщил, что его автомобиль будет готов к утру.",,
215,Untersucherin,"Эксперт осматривал тело человека, чтобы определить причину смерти, но не мог этого сделать, так как был слишком некомпетентен.",,
151,Schriftstellerin,Разработчик выпивает кофе с автором и обсуждает с ней.,,
16,Aufseher,"Когда прибыл человек, занимающийся вывозом, начальник одолжил свой огромный грузовик.",,
70,Redakteur,Женщина-полицейский спасла редактора от демонстрантов и отвезла его домой.,,
95,Arbeiterin,Сотрудник проигнорировал работницу и приказал ей вернуться на работу.,,
216,Gast,"Шеф-повар извинился перед гостем, который остался недоволен своим ужином.",,
265,Psychologe,"Психолог попросил пациента заполнить опросник, чтобы провести предварительную оценку.",,
117,Krankenpfleger,"Начальник поблагодарил медсестру за то, что она очень хорошо относится к своим пациентам.",,
254,Apothekerin,"Фармацевт сказала, что рекомендует принимать таблетки с пищей.",,
137,Vorgesetzte,Руководитель попросил помощника обсудить его график работы на завтра.,,
131,Sekretär,Охранник восхищался секретарем и хотел получить его работу.,,
12,Assistenten,Смотритель смеялся над помощником и плохо с ним обращался.,,
161,Ratholenden,"Консультант встретилась с Ратоленденом, потому что хотела узнать о заявках.",,
48,Bauarbeiter,"Пекарю понравился строитель, и он попытался продать ему хлеб со скидкой.",,
52,Köchin,"Повар попросил медсестру о помощи, так как ее мать заболела.",,
304,Zeugen,"Адвокат допрашивал свидетеля до тех пор, пока тот не сдался под давлением.",,
33,Kassiererin,"Плотник жалуется на кассира, потому что она не проявляет уважения к покупателям.",,
133,Polizisten,Учитель пришел к полицейскому и задал ему несколько вопросов.,,
178,Käufer,"Оценщик заявил покупателю, что тот заплатил за картину слишком много.",,
81,Friseur,"Фермеру нравилось стричься у парикмахера, потому что он хорошо делал свою работу.",,
