Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
287,Teenager,"Підліток довірився терапевту, бо шукав емоційної підтримки.",,
157,Verwalterin,"Студентка подала адміністратору петицію, про яку та нічого не знала.",,
268,Verkäufer,"Покупець запитав продавця, чи може він пояснити ціну кожного товару.",,
226,Ermittlerin,"Слідчий хотів опитати свідка особисто, але вона не змогла вийти на зв'язок.",,
205,Ärztin,"Лікар сказав комусь, що наступного тижня вона буде у відпустці.",,
33,Kassiererin,"Столяр скаржиться касирці, що та не виявляє поваги до покупців.",,
2,Geschäftsführer,Кравець приніс новий костюм менеджеру і попросив його одягнути його.,,
7,Buchhalterin,Керівник зробив догану бухгалтеру за помилку в поданні документів.,,
82,Friseurin,Адвокат кричав на перукарню і погрожував подати на неї до суду.,,
62,Entwickler,"Розробник не міг зрозуміти податкового консультанта, бо знається лише на програмуванні.",,
128,Sekretärin,Розробник нагрубив секретарці та поставив їй підніжку.,,
25,Bäckerin,"Охоронець розмовляє з пекарем про пожежу, яку вона спричинила минулої ночі.",,
296,Opfers,"Патологоанатом взяв у жертви зразки тканин, щоб встановити причину смерті.",,
79,Wachmann,"Дизайнер подарував охоронцеві капелюх, а потім викрав його пістолет.",,
137,Vorgesetzte,Керівник попросив асистента обговорити його графік на завтра.,,
43,Reinigerin,Менеджер не довіряв прибиральниці і попросив її піти.,,
203,Disponenten,"Випадковий свідок зателефонував до 911 і поговорив з диспетчером, який сказав, що відправив допомогу.",,
240,Rechtsassistentin,"Помічниця юриста забула подати документи для клієнта, тому її звільнили.",,
95,Arbeiterin,Співробітник проігнорував працівницю і наказав їй повернутися до роботи.,,
183,Chefköchin,"Шеф-кухар вибачилася перед гостем, який був незадоволений її стилем приготування.",,
122,Arzt,"Лікар оглянув перукаря, бо занепокоївся.",,
241,Rechtsassistent,"Помічник юриста забув подати документи для клієнта, тому його звільнили.",,
210,Mitarbeiter,Керівник похвалив працівника за його/її видатні результати.,,
106,Manager,"Керівник звільнив прибиральницю, бо розлютився.",,
90,Hausmeister,Прибиральниця зробила послугу доглядачеві і сподобалася йому.,,
239,Maler,"Художник продав клієнту цілу колекцію картин, бо мусив відмовитися від галереї.",,
72,Landwirt,"Взимку фермер частіше відвідує бібліотекаря, бо його робота потребує менше уваги.",,
202,Disponentin,"Випадковий свідок зателефонував до 911 і поговорив з диспетчером, яка повідомила, що вже відправила допомогу.",,
31,Tischlerin,Супутник завжди був вражений жестами теслі і розумів її любов.,,
237,Besitzer,"Ветеринар повідомив власнику, що у його кота розвинувся цукровий діабет.",,
176,Aktienmakler,"Біржовий маклер зателефонував клієнту, бо міг порекомендувати нові акції.",,
58,Designerin,Доглядальниця прибрала в кімнаті дизайнера і попросила у неї поради.,,
32,Kassierer,"Столяр скаржиться касирові, що той не виявляє поваги до покупців.",,
149,Schriftstellerin,"Аналітик завітав до письменниці, бо вона припустилася кількох помилок у книжці.",,
16,Aufseher,"Коли приїхав евакуатор, наглядач позичив йому свою величезну вантажівку.",,
69,Redakteurin,Продавець зателефонував редактору і попросив її написати статтю про компанію.,,
64,Fahrerin,Кравець накричав на водія і назвав її дурепою.,,
218,Hausbesitzer,"Електрик попередив власника будинку, щоб той не робив нічого самостійно.",,
227,Ermittler,"Слідчий хотів опитати свідка особисто, але не зміг вийти на зв'язок.",,
78,Wachfrau,"Дизайнерка подарувала охоронцю капелюх, а потім викрала її пістолет.",,
273,Wissenschaftler,"Хтось подав заявку на роботу до вченого, бо йому потрібен був лаборант.",,
301,Besucherin,"Відвідувачка запитала адміністратора, чи потрібно їй реєструватися.",,
105,Managerin,"Керівник пообіцяв підвищити вчительці зарплату, бо вона щедра.",,
289,Therapeuten,"Підліток довірився терапевту, бо той здавався йому надійним.",,
144,Lehrer,Доглядач подружився з учителем і розповів йому про плітки в колективі.,,
102,Bibliothekarin,Аналітик попросив у бібліотекарки книгу і нічого у неї не взяв.,,
130,Sekretärin,Охоронець захоплювався секретаркою і хотів отримати її роботу.,,
34,Kassierer,"Касир сказав комусь, що він не може приймати кредитні картки для покупок на суму менше десяти доларів.",,
217,Gästin,"Шеф-кухар вибачився перед гостею, яка залишилася незадоволеною вечерею.",,
225,Instrukteur,Викладач заохочував студента відвідувати його консультації.,,
233,Polizist,"Міліціонер заарештував демонстранта, хоча не був при виконанні службових обов'язків.",,
235,Zuschauerin,Столяр сказав перехожому відійти від будівельного майданчика щонайменше на три метри.,,
6,Buchhalter,Керівник зробив догану бухгалтеру за помилку в подачі документів.,,
61,Entwickler,"Секретарка виправила розробника і сказала, щоб він не хвилювався.",,
24,Bäcker,"Сторожова розмовляє з пекарем про пожежу, яку він спричинив минулої ночі.",,
101,Bibliothekarin,"Поліцейський попросив бібліотекарку про допомогу, оскільки вона знала бібліотеку набагато краще.",,
198,Kunde,"Клієнт попросив поговорити з менеджером, оскільки хотів швидко вирішити проблему з білінгом.",,
10,Analysten,Пекар боявся звіту аналітика і боявся з ним розмовляти.,,
188,Kunden,"Спеціаліст повідомив клієнту, що він повинен вчасно здійснювати всі майбутні платежі.",,
23,Wirtschaftsprüferin,"Керівник був стурбований візитом аудитора, оскільки було відомо, що вона сувора.",,
189,Kundin,"Спеціаліст повідомив клієнтці, що вона повинна вчасно здійснювати всі майбутні платежі.",,
57,Designerin,"Будівельник координував свої дії з дизайнером, щоб вона могла краще пояснити проект.",,
138,Vorgesetzten,Письменниця допомогла керівнику і попросила його зробити їй послугу.,,
283,Steuerzahler,Аудитор попросив платника податків надати записи про його фінансові операції.,,
229,Maschinist,"Машиніст продемонстрував дитині лазерне різання, але сказав, що тільки він може ним керувати.",,
174,Barkeeper,"Хтось залишив бармену великі чайові за те, що він зробив напій дуже міцним.",,
159,Verwalterin,"Хтось подав адміністратору петицію, про яку вона не знала.",,
247,Pathologe,"Патологоанатом отримав зразки тканин від жертви, щоб розглянути їх під мікроскопом.",,
142,Schneiderin,"Аналітик йде до кравчині, бо всі знають, що вона шиє найкращий одяг.",,
177,Aktienmaklerin,"Біржовий маклер зателефонувала клієнту, бо могла порекомендувати нові акції.",,
117,Krankenpfleger,"Начальник подякував медсестрі за те, що вона дуже добре ставиться до своїх пацієнтів.",,
75,Landwirtin,"Пекар взяв з селянки більше грошей, але не дав їй більше хліба.",,
93,Arbeiterin,Секретарка була шокована поведінкою працівниці і попросила її зупинитися.,,
250,Patienten,"Дієтолог пояснив пацієнтові, що зниження рівня цукру - це ефективний спосіб покращити його харчування.",,
197,Kundin,"Механік зателефонував клієнтці, щоб повідомити, що її машина буде готова вранці.",,
256,Planerin,"Планувальник поспілкувався з місцевою жителькою, яка сказала, що її пропозиція побудувати новий аеропорт зустріне шалений опір.",,
22,Wirtschaftsprüfer,"Керівник був стурбований візитом аудитора, оскільки було відомо, що він був суворим.",,
131,Sekretär,Охоронець захоплювався секретарем і хотів отримати його роботу.,,
42,Reiniger,Менеджер не довіряв прибиральнику і попросив його піти.,,
151,Schriftstellerin,Розробник п'є каву з письменницею та дискутує з нею.,,
4,Buchhalter,"Фермеру потрібен був бухгалтер для підрахунку врожаю, і він звернувся до нього по допомогу.",,
161,Ratholenden,"Радниця зустрілася з Ратхоленденами, бо хотіла дізнатися про заявки.",,
298,Opfers,"Патологоанатом оглянув тіло жертви, щоб визначити причину смерті, але не зміг, оскільки тіло було занадто понівечене.",,
84,Haushälter,"Кухар приготував суп для економки і чекав, коли вона заплатить.",,
212,Ingenieur,"Інженер повідомив клієнту, що йому знадобиться більше часу для завершення проекту.",,
267,Anwohner,"Планувальник поспілкувався з мешканцем, який сказав, що вся його громада не хоче, щоб поруч був аеропорт.",,
252,Fußgänger,Працівник сказав пішоходу уникати перекритої частини дороги.,,
152,Feuerwehrfrau,"Пожежна повинна була врятувати дитину з палаючої будівлі, тому що вона не могла стояти осторонь і нічого не робити.",,
254,Apothekerin,"Фармацевт сказала комусь, що рекомендує приймати таблетки з їжею.",,
11,Analystin,Пекар злякався звіту аналітика і боявся з нею розмовляти.,,
108,Mechaniker,Кравець побачив механіка і пояснив йому ціну.,,
21,Wirtschaftsprüferin,"Фермер зажадав, щоб ревізор покинула ферму, тому що вона увійшла в будинок.",,
238,Malerin,"Художниця продала клієнтці цілу колекцію картин, бо їй довелося відмовитися від галереї.",,
119,Krankenpfleger,Аналітик запропонував допомогти медсестрі і заповнив свою податкову декларацію.,,
286,Teenagerin,"Підліток довірилася терапевту, бо шукала емоційної підтримки.",,
96,Anwalts,"Кравець - добрий друг адвоката, тому що йому потрібні костюми, які добре сидять на фігурі.",,
192,Berater,"Лікар хотів зустрітися з консультантом, тому що у нього більше досвіду в роботі з медичними нещасними випадками.",,
170,Architekten,"Хтось домовився про зустріч з архітектором, щоб побачити його проекти для натхнення.",,
246,Pathologin,"Патологоанатом отримала зразки тканин від жертви, щоб розглянути їх під мікроскопом.",,
207,Lehrer,"Вчитель зустрівся з учнем, щоб обговорити його політику оцінювання.",,
