ab_code,name,perc_women,perc_men,jobs
0,Allgemein,49.6,50.4,"'Angestellten', 'Angestellten', 'Angestellte', 'Arbeiters', 'Arbeiterin', 'Arbeiterin', 'Arbeiter', 'Arbeiter', 'Mitarbeiterin', 'Mitarbeiter', 'Steuerzahlerin', 'Steuerzahler'"
111Lw,Landwirtschaft,31.48,68.52,"'Landwirt', 'Landwirtin'"
223Ho,Holzbe- und -verarbeitung,8.19,91.81,"'Schreiner', 'Schreinerin', 'Tischlers', 'Tischlerin', 'Umzugshelferin', 'Umzugshelfer'"
251Ma,Maschinenbau- und Betriebstechnik,12.33,87.67,"'Ingenieur', 'Maschinistin', 'Ingenieurin', 'Maschinist'"
252FL,"Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.",5.66,94.34,"'Mechaniker', 'Mechanikerin'"
262Et,Energietechnik,4.04,95.96,"'Elektriker', 'Elektrikerin'"
263El,Elektrotechnik,17.69,82.31,"'Techniker', 'Technikerin'"
282Tv,Textilverarbeitung,70.43,29.57,"'Schneider', 'Schneiderin'"
292Le,Lebensmittel- u. Genussmittelherstellung,32.83,67.17,"'Bäcker', 'Bäckerin'"
293Sp,Speisenzubereitung,50.73,49.27,"'Köchin', 'Koch', 'Chefkoch', 'Chefköchin'"
311BA,"Bauplanung u. -überwachung, Architektur",30.32,69.68,"'Architektin', 'Architekten', 'Planer', 'Planerin'"
321Hb,Hochbau,1.79,98.21,"'Bauarbeiter', 'Bauarbeiterin'"
332MB,"Maler.,Stuckat.,Bauwerksabd,Bautenschutz",6.46,93.54,"'Malerin', 'Maler'"
341Gt,Gebäudetechnik,10.22,89.78,"'Hausmeister', 'Hausmeisterin'"
342KS,"Klempnerei,Sanitär,Heizung,Klimatechnik",1.16,98.84,"'Klempnerin', 'Klempner'"
413Ch,Chemie,34.66,65.34,"'Chemikerin', 'Chemiker'"
434Pr,Softwareentwicklung und Programmierung,13.9,86.1,"'Entwicklerin', 'Entwickler', 'Programmierer', 'Programmiererin'"
521Fa,Fahrzeugführung im Straßenverkehr,8.39,91.61,"'Fahrerin', 'Fahrer'"
531OP,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",26.17,73.83,"'Aufseher', 'Aufseherin', 'Aufsehers', 'Wachfrau', 'Wachmann', 'Feuerwehrfrau', 'Inspektor', 'Feuerwehrmann', 'Ermittlerin', 'Inspektorin', 'Ermittler'"
532Po,"Polizei,Kriminald.,Gerichts,Justizvollz.",37.84,62.16,"'Polizistin', 'Polizistin', 'Polizisten', 'Polizist'"
541Re,Reinigung,77.31,22.69,"'Reiniger', 'Reinigerin'"
621Vo,Verkauf (ohne Produktspezialisierung),69.66,30.34,"'Kassierer', 'Kassiererin', 'Verkäuferin', 'Verkäufer'"
632Ho,Hotellerie,75.07,24.93,"'Rezeptionistin', 'Rezeptionisten'"
633Ga,Gastronomie,61.86,38.14,"'Barkeeper', 'Barkeeperin'"
711GV,Geschäftsführung und Vorstand,22.21,77.79,"'Geschäftsführer', 'Geschäftsführerin', 'Chef', 'Chefin', 'Manager', 'Managerin', 'Vorgesetzte', 'Vorgesetzte', 'Vorgesetzten', 'Vorgesetzten'"
714BS,Büro und Sekretariat,77.66,22.34,"'Assistenten', 'Assistentin', 'Sekretärin', 'Sekretär'"
715PD,Personalwesen und -dienstleistung,73.0,27.0,"'Beraterin', 'Berater'"
721VF,Versicherungs- u. Finanzdienstleistungen,54.89,45.11,"'Analystin', 'Analyst', 'Analysten', 'Aktienmaklerin', 'Aktienmakler'"
722Rw,"Rechnungswesen, Controlling und Revision",65.81,34.19,"'Buchhalter', 'Buchhalterin', 'Wirtschaftsprüfer', 'Wirtschaftsprüferin'"
731Rb,"Rechtsberatung, -sprechung und -ordnung",72.69,27.31,"'Anwalts', 'Anwältin', 'Anwalt', 'Rechtsassistent', 'Rechtsassistentin'"
732Ve,Verwaltung,75.44,24.56,"'Verwalter', 'Verwalterin'"
733MD,Medien-Dokumentations-Informationsdienst,75.45,24.55,"'Bibliothekar', 'Bibliothekarin'"
813GK,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",78.72,21.28,"'Krankenpflegerin', 'Krankenpfleger', 'Disponenten', 'Sanitäter', 'Sanitäterin', 'Disponentin'"
814Hm,Human- und Zahnmedizin,53.91,46.09,"'Arzt', 'Arzt', 'Ärztin', 'Ärztin', 'Fachärztin', 'Facharzt', 'Hausarzt', 'Untersucherin', 'Hygienikerin', 'Pathologin', 'Hygieniker', 'Untersucher', 'Chirurg', 'Hausärztin', 'Pathologe', 'Chirurgin'"
815Tm,Tiermedizin und Tierheilkunde,77.15,22.85,"'Tierärztin', 'Tierarzt'"
816Py,"Psychologie, nichtärztl. Psychotherapie",81.11,18.89,"'Therapeutin', 'Psychologin', 'Therapeuten', 'Psychologe'"
818Ph,Pharmazie,82.84,17.16,"'Apothekerin', 'Apotheker'"
822EW,"Ernährungs-,Gesundheitsberatung,Wellness",76.16,23.84,"'Ernährungsberater', 'Ernährungsberaterin'"
823Kp,Körperpflege,83.97,16.03,"'Friseurin', 'Friseur'"
832Hw,Hauswirtschaft und Verbraucherberatung,92.75,7.25,"'Haushälter', 'Haushälterin'"
841Le,Lehrtätigkeit an allgemeinbild. Schulen,72.05,27.95,"'Lehrer', 'Lehrer', 'Lehrerin', 'Lehrerin'"
842LA,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",52.76,47.24,"'Instrukteurin', 'Instrukteur'"
843LF,"Lehr-,Forschungstätigkeit an Hochschulen",47.32,52.68,"'Wissenschaftlerin', 'Wissenschaftler'"
924RJ,Redaktion und Journalismus,55.14,44.86,"'Redakteur', 'Redakteurin', 'Schriftsteller', 'Schriftstellerin'"
931PI,Produkt- und Industriedesign,38.51,61.49,"'Designer', 'Designerin'"
947Mt,Museumstechnik und -management,53.91,46.09,"'Gutachter', 'Gutachterin'"
