ab_code,name,men,women,total,perc_women,perc_men,prominent_gender,jobs
111,Landwirtschaft,159810,73430,233240,31.482593037214883,68.51740696278512,male,"[('Landwirt', 'male'), ('Landwirtin', 'female')]"
223,Holzbe- und -verarbeitung,233910,20870,254780,8.191380799120811,91.80861920087919,male,"[('Schreiner', 'male'), ('Schreinerin', 'female'), ('Tischlers', 'male'), ('Tischlerin', 'female'), ('Umzugshelferin', 'female'), ('Umzugshelfer', 'male')]"
251,Maschinenbau- und Betriebstechnik,1193670,167900,1361570,12.331352776574102,87.66864722342589,male,"[('Maschinist', 'male'), ('Maschinistin', 'female'), ('Ingenieurin', 'female'), ('Ingenieur', 'male')]"
252,"Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.",542450,32570,575020,5.664150812145665,94.33584918785434,male,"[('Mechaniker', 'male'), ('Mechanikerin', 'female')]"
262,Energietechnik,436090,18380,454470,4.044271349043941,95.95572865095606,male,"[('Elektriker', 'male'), ('Elektrikerin', 'female')]"
263,Elektrotechnik,435640,93620,529260,17.688848581037675,82.31115141896233,male,"[('Techniker', 'male'), ('Technikerin', 'female')]"
282,Textilverarbeitung,18460,43970,62430,70.43088258849912,29.569117411500883,female,"[('Schneider', 'male'), ('Schneiderin', 'female')]"
292,Lebensmittel- u. Genussmittelherstellung,240760,117650,358410,32.82553500181356,67.17446499818644,male,"[('Bäcker', 'male'), ('Bäckerin', 'female')]"
293,Speisenzubereitung,307280,316330,623610,50.72561376501339,49.27438623498661,female,"[('Köchin', 'female'), ('Koch', 'male'), ('Chefköchin', 'female'), ('Chefkoch', 'male')]"
311,"Bauplanung u. -überwachung, Architektur",191910,83520,275430,30.323494172748067,69.67650582725193,male,"[('Architekten', 'male'), ('Architektin', 'female'), ('Planerin', 'female'), ('Planer', 'male')]"
321,Hochbau,516840,9400,526240,1.7862572210398295,98.21374277896017,male,"[('Bauarbeiter', 'male'), ('Bauarbeiterin', 'female')]"
332,"Maler.,Stuckat.,Bauwerksabd,Bautenschutz",170080,11750,181830,6.462079964802288,93.53792003519771,male,"[('Maler', 'male'), ('Malerin', 'female')]"
341,Gebäudetechnik,432070,49180,481250,10.219220779220779,89.78077922077922,male,"[('Hausmeister', 'male'), ('Hausmeisterin', 'female')]"
342,"Klempnerei,Sanitär,Heizung,Klimatechnik",264170,3110,267280,1.163573780305298,98.8364262196947,male,"[('Klempnerin', 'female'), ('Klempner', 'male')]"
413,Chemie,208610,110650,319260,34.65827225458874,65.34172774541126,male,"[('Chemikerin', 'female'), ('Chemiker', 'male')]"
434,Softwareentwicklung und Programmierung,274360,44300,318660,13.901964476244272,86.09803552375573,male,"[('Entwicklerin', 'female'), ('Entwickler', 'male'), ('Programmierer', 'male'), ('Programmiererin', 'female')]"
521,Fahrzeugführung im Straßenverkehr,1098790,100580,1199370,8.386069353077032,91.61393064692297,male,"[('Fahrerin', 'female'), ('Fahrer', 'male')]"
531,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",304440,107900,412340,26.167725663287577,73.83227433671242,male,"[('Aufseher', 'male'), ('Aufseherin', 'female'), ('Aufsehers', 'male'), ('Wachfrau', 'female'), ('Wachmann', 'male'), ('Feuerwehrfrau', 'female'), ('Ermittlerin', 'female'), ('Inspektor', 'male'), ('Feuerwehrmann', 'male'), ('Inspektorin', 'female'), ('Ermittler', 'male')]"
532,"Polizei,Kriminald.,Gerichts,Justizvollz.",4370,2660,7030,37.83783783783784,62.16216216216216,male,"[('Polizistin', 'female'), ('Polizistin', 'female'), ('Polizisten', 'male'), ('Polizist', 'male')]"
541,Reinigung,320760,1093000,1413760,77.31156631960164,22.688433680398372,female,"[('Reiniger', 'male'), ('Reinigerin', 'female')]"
621,Verkauf (ohne Produktspezialisierung),503620,1156560,1660180,69.66473514920068,30.33526485079931,female,"[('Kassierer', 'male'), ('Kassiererin', 'female'), ('Verkäuferin', 'female'), ('Verkäufer', 'male')]"
632,Hotellerie,53640,161510,215150,75.06855682082268,24.931443179177318,female,"[('Rezeptionistin', 'female'), ('Rezeptionisten', 'male')]"
633,Gastronomie,340690,552620,893310,61.86206356136168,38.13793643863832,female,"[('Barkeeperin', 'female'), ('Barkeeper', 'male')]"
711,Geschäftsführung und Vorstand,192390,54920,247310,22.206946746997694,77.79305325300231,male,"[('Geschäftsführer', 'male'), ('Geschäftsführerin', 'female'), ('Chef', 'male'), ('Chefin', 'female'), ('Manager', 'male'), ('Managerin', 'female'), ('Vorgesetzte', 'female'), ('Vorgesetzte', 'male'), ('Vorgesetzten', 'female'), ('Vorgesetzten', 'male')]"
714,Büro und Sekretariat,588690,2046090,2634780,77.65695807619612,22.343041923803884,female,"[('Assistenten', 'male'), ('Assistentin', 'female'), ('Sekretärin', 'female'), ('Sekretär', 'male')]"
715,Personalwesen und -dienstleistung,75540,204210,279750,72.99731903485255,27.00268096514745,female,"[('Berater', 'male'), ('Beraterin', 'female')]"
721,Versicherungs- u. Finanzdienstleistungen,332090,404040,736130,54.88704440791709,45.11295559208292,female,"[('Analystin', 'female'), ('Analyst', 'male'), ('Analysten', 'male'), ('Aktienmaklerin', 'female'), ('Aktienmakler', 'male')]"
722,"Rechnungswesen, Controlling und Revision",177130,340990,518120,65.81293908747008,34.187060912529915,female,"[('Buchhalter', 'male'), ('Buchhalterin', 'female'), ('Wirtschaftsprüfer', 'male'), ('Wirtschaftsprüferin', 'female')]"
731,"Rechtsberatung, -sprechung und -ordnung",55840,148610,204450,72.68769870383956,27.31230129616043,female,"[('Anwalts', 'male'), ('Anwältin', 'female'), ('Anwalt', 'male'), ('Rechtsassistent', 'male'), ('Rechtsassistentin', 'female')]"
732,Verwaltung,242440,744510,986950,75.43543239272506,24.564567607274938,female,"[('Verwalterin', 'female'), ('Verwalter', 'male')]"
733,Medien-Dokumentations-Informationsdienst,15110,46440,61550,75.45085296506905,24.54914703493095,female,"[('Bibliothekar', 'male'), ('Bibliothekarin', 'female')]"
813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",262710,971660,1234370,78.71707834765913,21.282921652340868,female,"[('Krankenpflegerin', 'female'), ('Krankenpfleger', 'male'), ('Disponentin', 'female'), ('Disponenten', 'male'), ('Sanitäterin', 'female'), ('Sanitäter', 'male')]"
814,Human- und Zahnmedizin,145010,169630,314640,53.91240783117214,46.08759216882787,female,"[('Arzt', 'male'), ('Arzt', 'male'), ('Ärztin', 'female'), ('Ärztin', 'female'), ('Hygienikerin', 'female'), ('Facharzt', 'male'), ('Chirurg', 'male'), ('Pathologin', 'female'), ('Hausärztin', 'female'), ('Hygieniker', 'male'), ('Hausarzt', 'male'), ('Untersucherin', 'female'), ('Untersucher', 'male'), ('Fachärztin', 'female'), ('Pathologe', 'male'), ('Chirurgin', 'female')]"
815,Tiermedizin und Tierheilkunde,3850,13000,16850,77.1513353115727,22.8486646884273,female,"[('Tierärztin', 'female'), ('Tierarzt', 'male')]"
816,"Psychologie, nichtärztl. Psychotherapie",10380,44580,54960,81.11353711790393,18.88646288209607,female,"[('Psychologin', 'female'), ('Psychologe', 'male'), ('Therapeutin', 'female'), ('Therapeuten', 'male')]"
818,Pharmazie,29270,141280,170550,82.8378774552917,17.162122544708296,female,"[('Apothekerin', 'female'), ('Apotheker', 'male')]"
822,"Ernährungs-,Gesundheitsberatung,Wellness",6260,20000,26260,76.16146230007617,23.83853769992384,female,"[('Ernährungsberaterin', 'female'), ('Ernährungsberater', 'male')]"
823,Körperpflege,31720,166110,197830,83.96603144113632,16.03396855886367,female,"[('Friseurin', 'female'), ('Friseur', 'male')]"
832,Hauswirtschaft und Verbraucherberatung,22030,281860,303890,92.75066635953799,7.24933364046201,female,"[('Haushälter', 'male'), ('Haushälterin', 'female')]"
841,Lehrtätigkeit an allgemeinbild. Schulen,65870,169790,235660,72.04871424934227,27.95128575065773,female,"[('Lehrer', 'male'), ('Lehrer', 'male'), ('Lehrerin', 'female'), ('Lehrerin', 'female')]"
842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",46470,51900,98370,52.75998780115889,47.24001219884111,female,"[('Instrukteurin', 'female'), ('Instrukteur', 'male')]"
843,"Lehr-,Forschungstätigkeit an Hochschulen",159340,143120,302460,47.31865370627521,52.68134629372479,male,"[('Wissenschaftler', 'male'), ('Wissenschaftlerin', 'female')]"
924,Redaktion und Journalismus,43650,53650,97300,55.13874614594039,44.861253854059605,female,"[('Redakteur', 'male'), ('Redakteurin', 'female'), ('Schriftsteller', 'male'), ('Schriftstellerin', 'female')]"
931,Produkt- und Industriedesign,8350,5230,13580,38.51251840942563,61.487481590574376,male,"[('Designer', 'male'), ('Designerin', 'female')]"
947,Museumstechnik und -management,5840,6830,12670,53.90686661404893,46.09313338595106,female,"[('Gutachterin', 'female'), ('Gutachter', 'male')]"
0,Allgemein,10772400,10599910,21372310,49.59646383568271,50.40353616431729,male,"[('Angestellten', 'female'), ('Angestellten', 'male'), ('Angestellte', 'female'), ('Arbeiter', 'male'), ('Arbeiter', 'male'), ('Arbeiterin', 'female'), ('Arbeiterin', 'female'), ('Mitarbeiterin', 'female'), ('Steuerzahler', 'male'), ('Mitarbeiter', 'male'), ('Steuerzahlerin', 'female')]"
