ab_code,name,perc_women,perc_men,jobs
111,Landwirtschaft,31.48,68.52,"'Landwirt', 'Landwirtin'"
223,Holzbe- und -verarbeitung,8.19,91.81,"'Schreiner', 'Schreinerin', 'Tischlers', 'Tischlerin', 'Umzugshelferin', 'Umzugshelfer'"
251,Maschinenbau- und Betriebstechnik,12.33,87.67,"'Ingenieur', 'Maschinistin', 'Ingenieurin', 'Maschinist'"
252,"Fahrzeug-Luft-Raumfahrt-,Schiffbautechn.",5.66,94.34,"'Mechaniker', 'Mechanikerin'"
262,Energietechnik,4.04,95.96,"'Elektriker', 'Elektrikerin'"
263,Elektrotechnik,17.69,82.31,"'Techniker', 'Technikerin'"
282,Textilverarbeitung,70.43,29.57,"'Schneider', 'Schneiderin'"
292,Lebensmittel- u. Genussmittelherstellung,32.83,67.17,"'Bäcker', 'Bäckerin'"
293,Speisenzubereitung,50.73,49.27,"'Köchin', 'Koch', 'Chefkoch', 'Chefköchin'"
311,"Bauplanung u. -überwachung, Architektur",30.32,69.68,"'Architektin', 'Architekten', 'Planer', 'Planerin'"
321,Hochbau,1.79,98.21,"'Bauarbeiter', 'Bauarbeiterin'"
332,"Maler.,Stuckat.,Bauwerksabd,Bautenschutz",6.46,93.54,"'Malerin', 'Maler'"
341,Gebäudetechnik,10.22,89.78,"'Hausmeister', 'Hausmeisterin'"
342,"Klempnerei,Sanitär,Heizung,Klimatechnik",1.16,98.84,"'Klempnerin', 'Klempner'"
413,Chemie,34.66,65.34,"'Chemikerin', 'Chemiker'"
434,Softwareentwicklung und Programmierung,13.9,86.1,"'Entwicklerin', 'Entwickler', 'Programmierer', 'Programmiererin'"
521,Fahrzeugführung im Straßenverkehr,8.39,91.61,"'Fahrerin', 'Fahrer'"
531,"Obj.-,Pers.-,Brandschutz,Arbeitssicherh.",26.17,73.83,"'Aufseher', 'Aufseherin', 'Aufsehers', 'Wachfrau', 'Wachmann', 'Feuerwehrfrau', 'Inspektor', 'Feuerwehrmann', 'Ermittlerin', 'Inspektorin', 'Ermittler'"
