Original Text,Language,Translated Text
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Spanish,El director le gustaba la peluquera porque le agradaban los peinados que ofrecía.
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Italian,Il direttore gradiva la parrucchiera perché gli piacevano le acconciature offerte.
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",French,Le directeur aimait la coiffeuse parce qu'il appréciait les coiffures proposées.
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Russian,"Директору нравилась парикмахерша, потому что ему нравились предлагаемые прически."
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Ukrainian,"Директору подобалася перукарка, бо йому подобалися запропоновані зачіски."
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Arabic,أحب المدير مصففة الشعر لأنه أعجبته التسريحات المعروضة.
"Der Geschäftsführer mochte die Friseurin, weil ihm die angebotenen Frisuren gefielen.",Hebrew,המנהל אהב את הספרית כי הוא אהב את התספורות שהוצעו.
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Spanish,La directora general le gustaba el peluquero porque le agradaban los peinados que ofrecía.
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Italian,La direttrice apprezzava il parrucchiere perché le piacevano le acconciature offerte.
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",French,La directrice aimait le coiffeur parce qu'elle aimait les coiffures proposées.
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Russian,"Директору понравился парикмахер, потому что ей понравились предлагаемые прически."
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Ukrainian,"Директорка компанії любила перукаря, бо їй подобалися запропоновані зачіски."
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Arabic,أعجبت المديرة بالصالون لأن تسريحات الشعر المعروضة نالت إعجابها.
"Die Geschäftsführerin mochte den Friseur, weil ihr die angebotenen Frisuren gefielen.",Hebrew,המנהלת אהבה את הספר כי היא אהבה את התספורות המוצעות.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Spanish,La modista le entregó al gerente un traje nuevo y le pidió que lo usara.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Italian,La sarta consegnò al direttore un nuovo abito e gli chiese di indossarlo.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",French,La couturière a livré un nouveau costume au directeur et lui a demandé de le porter.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Russian,Швея доставила директору новый костюм и попросила его надеть.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Ukrainian,Швачка доставила директору новий костюм і попросила його приміряти.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Arabic,قدمت الخياطة بدلة جديدة للمدير وطلبت منه ارتداءها.
"Die Schneiderin lieferte dem Geschäftsführer einen neuen Anzug und bat ihn, ihn zu tragen.",Hebrew,"הסנדלרית סיפקה למנכ""ל חליפה חדשה וביקשה ממנו ללבוש אותה."
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Spanish,El sastre entregó un nuevo traje a la directora general y le pidió que lo llevara.
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Italian,Il sarto consegnò alla direttrice un nuovo completo e le chiese di indossarlo.
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",French,Le tailleur a livré un nouveau costume à la directrice et lui a demandé de le porter.
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Russian,Портной доставил директору новый костюм и попросил ее надеть его.
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Ukrainian,Кравець доставив директорці новий костюм і попросив її носити його.
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Arabic,قام الخياط بتسليم المديرة العامة بدلة جديدة وطلب منها ارتداءها.
